/*
* Licencia con arreglo a la EUPL, Versión 1.2 o –en cuanto sean aprobadas por la
Comisión Europea– versiones posteriores de la EUPL (la «Licencia»);
* Solo podrá usarse esta obra si se respeta la Licencia.
* Puede obtenerse una copia de la Licencia en:
* http://joinup.ec.europa.eu/software/page/eupl/licence-eupl
* Salvo cuando lo exija la legislación aplicable o se acuerde por escrito, el programa
distribuido con arreglo a la Licencia se distribuye «TAL CUAL», SIN GARANTÍAS NI
CONDICIONES DE NINGÚN TIPO, ni expresas ni implícitas.
* Véase la Licencia en el idioma concreto que rige los permisos y limitaciones que
establece la Licencia.
*/




"pasaje  a","pasaje  a","pasaje a"
"autovía  a-1","autovía  a-1","autovía a-1"
"autovía  a-2","autovía  a-2","autovía a-2"
"autovía  a-3","autovía  a-3","autovía a-3"
"autovía  a-4","autovía  a-4","autovía a-4"
"autovía  a-42","autovía  a-42","autovía a-42"
"autovía  a-5","autovía  a-5","autovía a-5"
"autovía  a-6","autovía  a-6","autovía a-6"
"plaza de francisco de asís cabrero","plaza de francisco de asís cabrero","plaza francisco de asís cabrero"
"calle de francisco de asís méndez casariego","calle de francisco de asís méndez casariego","calle francisco de asís méndez casariego","francisco de asís méndez casariego"
"calle de francisco de diego","calle de francisco de diego","calle francisco de diego","francisco de diego"
"calle de francisco de goya","calle de francisco de goya","calle francisco de goya","francisco de goya"
"calle de francisco de icaza","calle de francisco de icaza","calle francisco de icaza","francisco de icaza"
"calle de francisco de la fuente","calle de francisco de la fuente","calle francisco de la fuente","francisco de la fuente"
"glorieta de francisco de las cabezas","glorieta de francisco de las cabezas","glorieta francisco de las cabezas"
"calle de francisco de rojas","calle de francisco de rojas","calle francisco de rojas","francisco de rojas"
"calle de francisco de tejada","calle de francisco de tejada","calle francisco de tejada","francisco de tejada"
"calle de francisco del pino","calle de francisco del pino","calle francisco del pino","francisco del pino"
"calle de francisco del pozo","calle de francisco del pozo","calle francisco del pozo","francisco del pozo"
"calle de francisco fatou","calle de francisco fatou","calle francisco fatou","francisco fatou"
"glorieta de francisco fernández ordoñez","glorieta de francisco fernández ordoñez","glorieta francisco fernández ordoñez"
"calle de francisco garcía","calle de francisco garcía","calle francisco garcía","francisco garcía"
"calle de francisco gervás","calle de francisco gervás","calle francisco gervás","francisco gervás"
"calle de francisco giner de los ríos","calle de francisco giner de los ríos","calle francisco giner de los ríos","francisco giner de los ríos"
"calle de francisco giralte","calle de francisco giralte","calle francisco giralte","francisco giralte"
"calle de francisco grande covián","calle de francisco grande covián","calle francisco grande covián","francisco grande covián"
"calle de francisco gutiérrez","calle de francisco gutiérrez","calle francisco gutiérrez","francisco gutiérrez"
"calle de francisco guzmán","calle de francisco guzmán","calle francisco guzmán","francisco guzmán"
"calle de francisco huesca","calle de francisco huesca","calle francisco huesca","francisco huesca"
"calle de francisco iglesias","calle de francisco iglesias","calle francisco iglesias","francisco iglesias"
"calle de francisco íñiguez almech","calle de francisco íñiguez almech","calle francisco íñiguez almech","francisco íñiguez almech"
"glorieta de francisco jareño","glorieta de francisco jareño","glorieta francisco jareño"
"avenida de francisco javier sáenz de oiza","avenida de francisco javier sáenz de oiza","avenida francisco javier sáenz de oiza"
"calle de francisco javier torronteras gadea","calle de francisco javier torronteras gadea","calle francisco javier torronteras gadea","francisco javier torronteras gadea"
"calle de francisco josé arroyo","calle de francisco josé arroyo","calle francisco josé arroyo","francisco josé arroyo"
"calle de francisco laguna","calle de francisco laguna","calle francisco laguna","francisco laguna"
"calle de francisco largo caballero","calle de francisco largo caballero","calle francisco largo caballero","francisco largo caballero"
"calle de francisco lastres","calle de francisco lastres","calle francisco lastres","francisco lastres"
"calle de francisco lezcano","calle de francisco lezcano","calle francisco lezcano","francisco lezcano"
"calle de francisco lizcano","calle de francisco lizcano","calle francisco lizcano","francisco lizcano"
"calle de francisco lópez","calle de francisco lópez","calle francisco lópez","francisco lópez"
"calle de francisco lozano","calle de francisco lozano","calle francisco lozano","francisco lozano"
"calle de francisco luján","calle de francisco luján","calle francisco luján","francisco luján"
"calle de francisco madariaga","calle de francisco madariaga","calle francisco madariaga","francisco madariaga"
"calle de francisco medrano","calle de francisco medrano","calle francisco medrano","francisco medrano"
"plaza de francisco morano","plaza de francisco morano","plaza francisco morano"
"calle de francisco morejón","calle de francisco morejón","calle francisco morejón","francisco morejón"
"calle de francisco mosqueda","calle de francisco mosqueda","calle francisco mosqueda","francisco mosqueda"
"calle de francisco navacerrada","calle de francisco navacerrada","calle francisco navacerrada","francisco navacerrada"
"calle de francisco ordóñez","calle de francisco ordóñez","calle francisco ordóñez","francisco ordóñez"
"calle de francisco paíno","calle de francisco paíno","calle francisco paíno","francisco paíno"
"calle de francisco palomo","calle de francisco palomo","calle francisco palomo","francisco palomo"
"avenida de francisco pi y margall","avenida de francisco pi y margall","avenida francisco pi y margall"
"calle de francisco piquer","calle de francisco piquer","calle francisco piquer","francisco piquer"
"calle de francisco puertas","calle de francisco puertas","calle francisco puertas","francisco puertas"
"calle de francisco remiro","calle de francisco remiro","calle francisco remiro","francisco remiro"
"calle de francisco requena","calle de francisco requena","calle francisco requena","francisco requena"
"calle de francisco ricci","calle de francisco ricci","calle francisco ricci","francisco ricci"
"calle de francisco rioja","calle de francisco rioja","calle francisco rioja","francisco rioja"
"calle de francisco rodríguez","calle de francisco rodríguez","calle francisco rodríguez","francisco rodríguez"
"calle de francisco romero","calle de francisco romero","calle francisco romero","francisco romero"
"calle de francisco ronquillo","calle de francisco ronquillo","calle francisco ronquillo","francisco ronquillo"
"plaza de francisco ruano","plaza de francisco ruano","plaza francisco ruano"
"calle de francisco ruiz","calle de francisco ruiz","calle francisco ruiz","francisco ruiz"
"calle de francisco salas","calle de francisco salas","calle francisco salas","francisco salas"
"calle de francisco sancha","calle de francisco sancha","calle francisco sancha","francisco sancha"
"calle de francisco sanfiz","calle de francisco sanfiz","calle francisco sanfiz","francisco sanfiz"
"calle de francisco santos","calle de francisco santos","calle francisco santos","francisco santos"
"calle de francisco silvela","calle de francisco silvela","calle francisco silvela","francisco silvela"
"calle de francisco suárez","calle de francisco suárez","calle francisco suárez","francisco suárez"
"calle de francisco tárrega","calle de francisco tárrega","calle francisco tárrega","francisco tárrega"
"calle de francisco tomás y valiente","calle de francisco tomás y valiente","calle francisco tomás y valiente","francisco tomás y valiente"
"calle de francisco umbral","calle de francisco umbral","calle francisco umbral","francisco umbral"
"calle de francisco villaespesa","calle de francisco villaespesa","calle francisco villaespesa","francisco villaespesa"
"calle de francisco vitoria","calle de francisco vitoria","calle francisco vitoria","francisco vitoria"
"calle de francisco vivancos","calle de francisco vivancos","calle francisco vivancos","francisco vivancos"
"calle de francisco y jacinto alcántara","calle de francisco y jacinto alcántara","calle francisco y jacinto alcántara","francisco y jacinto alcántara"
"calle de francisco zea","calle de francisco zea","calle francisco zea","francisco zea"
"calle de franco","calle de franco","calle franco","franco"
"calle del francolín","calle del francolín","calle francolín","francolín"
"calle de francos rodríguez","calle de francos rodríguez","calle francos rodríguez","francos rodríguez"
"calle de frascuelo","calle de frascuelo","calle frascuelo","frascuelo"
"calle de fray bernardino sahagún","calle de fray bernardino sahagún","calle fray bernardino sahagún","fray bernardino sahagún"
"calle de fray ceferino gonzález","calle de fray ceferino gonzález","calle fray ceferino gonzález","fray ceferino gonzález"
"calle de fray josé cerdeiriña","calle de fray josé cerdeiriña","calle fray josé cerdeiriña","fray josé cerdeiriña"
"calle de fray juan gil","calle de fray juan gil","calle fray juan gil","fray juan gil"
"calle de fray junípero serra","calle de fray junípero serra","calle fray junípero serra","fray junípero serra"
"calle de fray luis de león","calle de fray luis de león","calle fray luis de león","fray luis de león"
"calle de la fresa","calle de la fresa","calle fresa","fresa"
"calle de fresnedillas","calle de fresnedillas","calle fresnedillas","fresnedillas"
"calle del fresno","calle del fresno","calle fresno","fresno"
"calle de fresno de cantespino","calle de fresno de cantespino","calle fresno de cantespino","fresno de cantespino"
"calle de fresno de la vega","calle de fresno de la vega","calle fresno de la vega","fresno de la vega"
"calle de freud","calle de freud","calle freud","freud"
"calle de frías","calle de frías","calle frías","frías"
"calle de frida kahlo","calle de frida kahlo","calle frida kahlo","frida kahlo"
"calle de frigiliana","calle de frigiliana","calle frigiliana","frigiliana"
"calle de frómista","calle de frómista","calle frómista","frómista"
"calle de las fronteras de portugal","calle de las fronteras de portugal","calle fronteras de portugal","fronteras de portugal"
"calle de fruela","calle de fruela","calle fruela","fruela"
"calle de fúcar","calle de fúcar","calle fúcar","fúcar"
"calle de la fucsia","calle de la fucsia","calle fucsia","fucsia"
"calle de fuembellida","calle de fuembellida","calle fuembellida","fuembellida"
"calle de fuencaliente","calle de fuencaliente","calle fuencaliente","fuencaliente"
"calle de fuencarral","calle de fuencarral","calle fuencarral","fuencarral"
"camino de fuencarral","camino de fuencarral","camino fuencarral"
"carretera de fuencarral a alcobendas","carretera de fuencarral a alcobendas","carretera fuencarral a alcobendas"
"carretera de fuencarral a hortaleza","carretera de fuencarral a hortaleza","carretera fuencarral a hortaleza"
"poblado de absorción de fuencarral b","poblado de absorción de fuencarral b","poblado de absorción fuencarral b"
"calle de fuencemillán","calle de fuencemillán","calle fuencemillán","fuencemillán"
"calle de fuendetodos","calle de fuendetodos","calle fuendetodos","fuendetodos"
"calle de fuengirola","calle de fuengirola","calle fuengirola","fuengirola"
"calle de fuenlabrada","calle de fuenlabrada","calle fuenlabrada","fuenlabrada"
"calle de fuensalida","calle de fuensalida","calle fuensalida","fuensalida"
"calle de fuensaviñán","calle de fuensaviñán","calle fuensaviñán","fuensaviñán"
"calle de la fuente","calle de la fuente","calle fuente","fuente"
"camino de la fuente","camino de la fuente","camino fuente"
"plaza de la fuente","plaza de la fuente","plaza fuente"
"calle de la fuente carrantona","calle de la fuente carrantona","calle fuente carrantona","fuente carrantona"
"calle de la fuente chica","calle de la fuente chica","calle fuente chica","fuente chica"
"calle de la fuente de aravaca","calle de la fuente de aravaca","calle fuente de aravaca","fuente de aravaca"
"camino de la fuente de arriba","camino de la fuente de arriba","camino fuente de arriba"
"camino de la fuente de el goloso","camino de la fuente de el goloso","camino fuente de el goloso"
"calle de la fuente de la capona","calle de la fuente de la capona","calle fuente de la capona","fuente de la capona"
"glorieta de la fuente de la carra","glorieta de la fuente de la carra","glorieta fuente de la carra"
"calle de la fuente de la cuesta","calle de la fuente de la cuesta","calle fuente de la cuesta","fuente de la cuesta"
"avenida de la fuente de la mora","avenida de la fuente de la mora","avenida fuente de la mora"
"camino de la fuente de la mora","camino de la fuente de la mora","camino fuente de la mora"
"calle de la fuente de lima","calle de la fuente de lima","calle fuente de lima","fuente de lima"
"calle de la fuente de los cinco caños","calle de la fuente de los cinco caños","calle fuente de los cinco caños","fuente de los cinco caños"
"camino de la fuente de los mochuelos","camino de la fuente de los mochuelos","camino fuente de los mochuelos"
"calle de fuente de piedra","calle de fuente de piedra","calle fuente de piedra","fuente de piedra"
"calle de la fuente de san juan","calle de la fuente de san juan","calle fuente de san juan","fuente de san juan"
"calle de la fuente de san pedro","calle de la fuente de san pedro","calle fuente de san pedro","fuente de san pedro"
"calle de la fuente de torrejona","calle de la fuente de torrejona","calle fuente de torrejona","fuente de torrejona"
"calle de la fuente del berro","calle de la fuente del berro","calle fuente del berro","fuente del berro"
"calle de la fuente del carolo","calle de la fuente del carolo","calle fuente del carolo","fuente del carolo"
"calle de la fuente del molino","calle de la fuente del molino","calle fuente del molino","fuente del molino"
"calle de la fuente del pavo","calle de la fuente del pavo","calle fuente del pavo","fuente del pavo"
"calle de la fuente del peral","calle de la fuente del peral","calle fuente del peral","fuente del peral"
"camino de la fuente del piejo","camino de la fuente del piejo","camino fuente del piejo"
"calle de la fuente del rey","calle de la fuente del rey","calle fuente del rey","fuente del rey"
"calle de la fuente del romero","calle de la fuente del romero","calle fuente del romero","fuente del romero"
"calle de fuente del saz","calle de fuente del saz","calle fuente del saz","fuente del saz"
"calle de la fuente del tiro","calle de la fuente del tiro","calle fuente del tiro","fuente del tiro"
"calle de fuentelahiguera","calle de fuentelahiguera","calle fuentelahiguera","fuentelahiguera"
"calle de fuentelapeña","calle de fuentelapeña","calle fuentelapeña","fuentelapeña"
"avenida de fuentelarreyna","avenida de fuentelarreyna","avenida fuentelarreyna"
"calle de fuentelencina","calle de fuentelencina","calle fuentelencina","fuentelencina"
"calle de fuentelviejo","calle de fuentelviejo","calle fuentelviejo","fuentelviejo"
"calle de fuentemilanos","calle de fuentemilanos","calle fuentemilanos","fuentemilanos"
"calle de fuentenebro","calle de fuentenebro","calle fuentenebro","fuentenebro"
"calle de fuentenovilla","calle de fuentenovilla","calle fuentenovilla","fuentenovilla"
"calle de fuenteovejuna","calle de fuenteovejuna","calle fuenteovejuna","fuenteovejuna"
"calle de fuentepelayo","calle de fuentepelayo","calle fuentepelayo","fuentepelayo"
"calle de fuenterrabía","calle de fuenterrabía","calle fuenterrabía","fuenterrabía"
"calle de las fuentes","calle de las fuentes","calle fuentes","fuentes"
"plaza de las fuentes claras","plaza de las fuentes claras","plaza fuentes claras"
"calle de las fuentes de san jorge","calle de las fuentes de san jorge","calle fuentes de san jorge","fuentes de san jorge"
"calle de fuentesaúco","calle de fuentesaúco","calle fuentesaúco","fuentesaúco"
"calle de fuentespina","calle de fuentespina","calle fuentespina","fuentespina"
"calle de fuentidueña","calle de fuentidueña","calle fuentidueña","fuentidueña"
"glorieta de fuentidueñas","glorieta de fuentidueñas","glorieta fuentidueñas"
"avenida de los fueros","avenida de los fueros","avenida fueros"
"calle del fuerte de navidad","calle del fuerte de navidad","calle fuerte de navidad","fuerte de navidad"
"calle de fulgencio de miguel","calle de fulgencio de miguel","calle fulgencio de miguel","fulgencio de miguel"
"calle de la fumistería","calle de la fumistería","calle fumistería","fumistería"
"pasaje de la fundación","pasaje de la fundación","pasaje fundación"
"calle de los fundadores","calle de los fundadores","calle fundadores","fundadores"
"calle de las fundiciones","calle de las fundiciones","calle fundiciones","fundiciones"
"calle de furelos","calle de furelos","calle furelos","furelos"
"calle  g","calle  g","calle g","g"
"pasaje  g","pasaje  g","pasaje g"
"travesía  g","travesía  g","travesía g"
"calle de gabasti","calle de gabasti","calle gabasti","gabasti"
"calle de gabino jimeno","calle de gabino jimeno","calle gabino jimeno","gabino jimeno"
"calle de gabriel abréu","calle de gabriel abréu","calle gabriel abréu","gabriel abréu"
"calle de gabriel cisneros","calle de gabriel cisneros","calle gabriel cisneros","gabriel cisneros"
"calle de gabriel díez","calle de gabriel díez","calle gabriel díez","gabriel díez"
"calle de gabriel gómez","calle de gabriel gómez","calle gabriel gómez","gabriel gómez"
"calle de gabriel lobo","calle de gabriel lobo","calle gabriel lobo","gabriel lobo"
"plaza de gabriel miró","plaza de gabriel miró","plaza gabriel miró"
"calle de gabriel montero","calle de gabriel montero","calle gabriel montero","gabriel montero"
"calle de gabriel portadales","calle de gabriel portadales","calle gabriel portadales","gabriel portadales"
"calle de gabriel ruiz","calle de gabriel ruiz","calle gabriel ruiz","gabriel ruiz"
"calle de gabriel usera","calle de gabriel usera","calle gabriel usera","gabriel usera"
"calle de gabriel y galán","calle de gabriel y galán","calle gabriel y galán","gabriel y galán"
"calle de gabriela mistral","calle de gabriela mistral","calle gabriela mistral","gabriela mistral"
"calle de gaínza","calle de gaínza","calle gaínza","gaínza"
"calle de gaira","calle de gaira","calle gaira","gaira"
"calle de galapa","calle de galapa","calle galapa","galapa"
"calle de galatea","calle de galatea","calle galatea","galatea"
"avenida de la galaxia","avenida de la galaxia","avenida galaxia"
"cuesta del galbán","cuesta del galbán","cuesta galbán"
"calle de galdo","calle de galdo","calle galdo","galdo"
"calle de la galena","calle de la galena","calle galena","galena"
"calle del galeón","calle del galeón","calle galeón","galeón"
"calle de la galera","calle de la galera","calle galera","galera"
"calle de la galería de robles","calle de la galería de robles","calle galería de robles","galería de robles"
"calle de gales","calle de gales","calle gales","gales"
"calle de galiana","calle de galiana","calle galiana","galiana"
"calle de galicia","calle de galicia","calle galicia","galicia"
"plaza de galicia","plaza de galicia","plaza galicia"
"calle de galileo","calle de galileo","calle galileo","galileo"
"calle de gallarza","calle de gallarza","calle gallarza","gallarza"
"calle de los gallegos","calle de los gallegos","calle gallegos","gallegos"
"calle del gallo","calle del gallo","calle gallo","gallo"
"calle de gallur","calle de gallur","calle gallur","gallur"
"calle de gálvez","calle de gálvez","calle gálvez","gálvez"
"calle del gamonal","calle del gamonal","calle gamonal","gamonal"
"calle de la ganadería","calle de la ganadería","calle ganadería","ganadería"
"calle de los ganados del salobral","calle de los ganados del salobral","calle ganados del salobral","ganados del salobral"
"camino de ganapanes","camino de ganapanes","camino ganapanes"
"plaza de gándara de oro","plaza de gándara de oro","plaza gándara de oro"
"calle de gandhi","calle de gandhi","calle gandhi","gandhi"
"calle de gandía","calle de gandía","calle gandía","gandía"
"calle de gando","calle de gando","calle gando","gando"
"calle del ganges","calle del ganges","calle ganges","ganges"
"calle de ganímedes","calle de ganímedes","calle ganímedes","ganímedes"
"travesía de ganímedes","travesía de ganímedes","travesía ganímedes"
"camino del garabitas","camino del garabitas","camino garabitas"
"carretera del garabitas","carretera del garabitas","carretera garabitas"
"paseo del garabitas","paseo del garabitas","paseo garabitas"
"calle del garapalo","calle del garapalo","calle garapalo","garapalo"
"calle de la garceta","calle de la garceta","calle garceta","garceta"
"callejón de garcía cea","callejón de garcía cea","callejón garcía cea","garcía cea"
"calle de garcía de la parra","calle de garcía de la parra","calle garcía de la parra","garcía de la parra"
"calle de garcía de paredes","calle de garcía de paredes","calle garcía de paredes","garcía de paredes"
"calle de garcía gutiérrez","calle de garcía gutiérrez","calle garcía gutiérrez","garcía gutiérrez"
"plaza de garcía ibarrola","plaza de garcía ibarrola","plaza garcía ibarrola"
"calle de garcía llamas","calle de garcía llamas","calle garcía llamas","garcía llamas"
"calle de garcía luna","calle de garcía luna","calle garcía luna","garcía luna"
"calle de garcía miranda","calle de garcía miranda","calle garcía miranda","garcía miranda"
"calle de garcía molinas","calle de garcía molinas","calle garcía molinas","garcía molinas"
"glorieta de garcía plaza","glorieta de garcía plaza","glorieta garcía plaza"
"calle de garcía quintanilla","calle de garcía quintanilla","calle garcía quintanilla","garcía quintanilla"
"calle de garcía salazar","calle de garcía salazar","calle garcía salazar","garcía salazar"
"calle de garcía treviño","calle de garcía treviño","calle garcía treviño","garcía treviño"
"calle de garcilaso","calle de garcilaso","calle garcilaso","garcilaso"
"calle de garci-nuño","calle de garci-nuño","calle garci-nuño","garci-nuño"
"calle del garellano","calle del garellano","calle garellano","garellano"
"calle de garganchón","calle de garganchón","calle garganchón","garganchón"
"calle de la garganta de aisa","calle de la garganta de aisa","calle garganta de aisa","garganta de aisa"
"calle de garganta de los montes","calle de garganta de los montes","calle garganta de los montes","garganta de los montes"
"calle de las gargantas","calle de las gargantas","calle gargantas","gargantas"
"calle de gargantilla","calle de gargantilla","calle gargantilla","gargantilla"
"calle de garibay","calle de garibay","calle garibay","garibay"
"calle de la garita","calle de la garita","calle garita","garita"
"calle de garmur","calle de garmur","calle garmur","garmur"
"calle de garrovillas","calle de garrovillas","calle garrovillas","garrovillas"
"calle de la garza","calle de la garza","calle garza","garza"
"calle de gascones","calle de gascones","calle gascones","gascones"
"calle de gascueña","calle de gascueña","calle gascueña","gascueña"
"calle del gasómetro","calle del gasómetro","calle gasómetro","gasómetro"
"calle de gaspar morales","calle de gaspar morales","calle gaspar morales","gaspar morales"
"calle del gastería","calle del gastería","calle gastería","gastería"
"travesía de la gavia","travesía de la gavia","travesía gavia"
"calle de la gavia seca","calle de la gavia seca","calle gavia seca","gavia seca"
"travesía de la gavia seca","travesía de la gavia seca","travesía gavia seca"
"calle de los gavilanes","calle de los gavilanes","calle gavilanes","gavilanes"
"calle de la gaviota","calle de la gaviota","calle gaviota","gaviota"
"calle de la gazania","calle de la gazania","calle gazania","gazania"
"calle de gaztambide","calle de gaztambide","calle gaztambide","gaztambide"
"plaza de gelsa de ebro","plaza de gelsa de ebro","plaza gelsa de ebro"
"calle de géminis","calle de géminis","calle géminis","géminis"
"calle de la genciana","calle de la genciana","calle genciana","genciana"
"avenida  general","avenida  general","avenida general"
"calle del general álvarez de castro","calle del general álvarez de castro","calle general álvarez de castro","general álvarez de castro"
"glorieta del general álvarez de castro","glorieta del general álvarez de castro","glorieta general álvarez de castro"
"calle del general ampudia","calle del general ampudia","calle general ampudia","general ampudia"
"calle del general aranaz","calle del general aranaz","calle general aranaz","general aranaz"
"calle del general arrando","calle del general arrando","calle general arrando","general arrando"
"calle del general asensio cabanillas","calle del general asensio cabanillas","calle general asensio cabanillas","general asensio cabanillas"
"calle del general cabrera","calle del general cabrera","calle general cabrera","general cabrera"
"calle del general cadenas campos","calle del general cadenas campos","calle general cadenas campos","general cadenas campos"
"calle del general castaños","calle del general castaños","calle general castaños","general castaños"
"calle del general díaz porlier","calle del general díaz porlier","calle general díaz porlier","general díaz porlier"
"calle del general gallegos","calle del general gallegos","calle general gallegos","general gallegos"
"calle del general ibáñez de íbero","calle del general ibáñez de íbero","calle general ibáñez de íbero","general ibáñez de íbero"
"calle del general juan van-halen","calle del general juan van-halen","calle general juan van-halen","general juan van-halen"
"calle del general lacy","calle del general lacy","calle general lacy","general lacy"
"calle del general lópez pozas","calle del general lópez pozas","calle general lópez pozas","general lópez pozas"
"calle del general lorenzo","calle del general lorenzo","calle general lorenzo","general lorenzo"
"calle del general manso","calle del general manso","calle general manso","general manso"
"calle del general margallo","calle del general margallo","calle general margallo","general margallo"
"plaza del general maroto","plaza del general maroto","plaza general maroto"
"calle del general martín cerezo","calle del general martín cerezo","calle general martín cerezo","general martín cerezo"
"paseo del general martínez campos","paseo del general martínez campos","paseo general martínez campos"
"calle del general marvá","calle del general marvá","calle general marvá","general marvá"
"calle del general mitre","calle del general mitre","calle general mitre","general mitre"
"calle del general oráa","calle del general oráa","calle general oráa","general oráa"
"calle del general palanca","calle del general palanca","calle general palanca","general palanca"
"calle del general pardiñas","calle del general pardiñas","calle general pardiñas","general pardiñas"
"avenida del general perón","avenida del general perón","avenida general perón"
"calle del general pintos","calle del general pintos","calle general pintos","general pintos"
"calle del general prim","calle del general prim","calle general prim","general prim"
"calle del general ramírez de madrid","calle del general ramírez de madrid","calle general ramírez de madrid","general ramírez de madrid"
"calle del general ricardos","calle del general ricardos","calle general ricardos","general ricardos"
"glorieta del general san martín","glorieta del general san martín","glorieta general san martín"
"calle del general serrano orive","calle del general serrano orive","calle general serrano orive","general serrano orive"
"calle del general urrutia","calle del general urrutia","calle general urrutia","general urrutia"
"plaza del general vara de rey","plaza del general vara de rey","plaza general vara de rey"
"calle del general velarde","calle del general velarde","calle general velarde","general velarde"
"calle del general zabala","calle del general zabala","calle general zabala","general zabala"
"calle del generalife","calle del generalife","calle generalife","generalife"
"calle de la generosidad","calle de la generosidad","calle generosidad","generosidad"
"calle del genil","calle del genil","calle genil","genil"
"calle de la genista","calle de la genista","calle genista","genista"
"calle de génova","calle de génova","calle génova","génova"
"calle de genserico","calle de genserico","calle genserico","genserico"
"calle de la geología","calle de la geología","calle geología","geología"
"plaza de los geólogos","plaza de los geólogos","plaza geólogos"
"calle de los geranios","calle de los geranios","calle geranios","geranios"
"calle de gerardo baena","calle de gerardo baena","calle gerardo baena","gerardo baena"
"calle de gerardo cordón","calle de gerardo cordón","calle gerardo cordón","gerardo cordón"
"travesía de gerardo cordón","travesía de gerardo cordón","travesía gerardo cordón"
"calle de gerardo diego","calle de gerardo diego","calle gerardo diego","gerardo diego"
"calle de gerardo rueda","calle de gerardo rueda","calle gerardo rueda","gerardo rueda"
"calle de gerardo sainz","calle de gerardo sainz","calle gerardo sainz","gerardo sainz"
"calle de gerda taro","calle de gerda taro","calle gerda taro","gerda taro"
"calle de germán pérez carrasco","calle de germán pérez carrasco","calle germán pérez carrasco","germán pérez carrasco"
"calle de gerona","calle de gerona","calle gerona","gerona"
"calle de gesaleico","calle de gesaleico","calle gesaleico","gesaleico"
"calle de getafe","calle de getafe","calle getafe","getafe"
"plaza de getafe","plaza de getafe","plaza getafe"
"calle de getino","calle de getino","calle getino","getino"
"paseo de gigantes y cabezudos","paseo de gigantes y cabezudos","paseo gigantes y cabezudos"
"calle de gijón","calle de gijón","calle gijón","gijón"
"calle de gil de ontañón","calle de gil de ontañón","calle gil de ontañón","gil de ontañón"
"calle de gil de santiváñes","calle de gil de santiváñes","calle gil de santiváñes","gil de santiváñes"
"calle de gil imón","calle de gil imón","calle gil imón","gil imón"
"travesía de gil imón","travesía de gil imón","travesía gil imón"
"calle de gil y polo","calle de gil y polo","calle gil y polo","gil y polo"
"calle de gilena","calle de gilena","calle gilena","gilena"
"paseo de ginebra","paseo de ginebra","paseo ginebra"
"calle del ginebro","calle del ginebro","calle ginebro","ginebro"
"calle de ginés navarro","calle de ginés navarro","calle ginés navarro","ginés navarro"
"calle de ginzo de limia","calle de ginzo de limia","calle ginzo de limia","ginzo de limia"
"calle de la giralda","calle de la giralda","calle giralda","giralda"
"calle del girasol","calle del girasol","calle girasol","girasol"
"calle del gladiolo","calle del gladiolo","calle gladiolo","gladiolo"
"calle de glasgow","calle de glasgow","calle glasgow","glasgow"
"calle de gloria fuertes","calle de gloria fuertes","calle gloria fuertes","gloria fuertes"
"avenida de las glorietas","avenida de las glorietas","avenida glorietas"
"calle de la gloxinia","calle de la gloxinia","calle gloxinia","gloxinia"
"calle de la glyceria","calle de la glyceria","calle glyceria","glyceria"
"calle de gobelas","calle de gobelas","calle gobelas","gobelas"
"plaza de los gobelinos","plaza de los gobelinos","plaza gobelinos"
"calle del gobernador","calle del gobernador","calle gobernador","gobernador"
"calle de godella","calle de godella","calle godella","godella"
"calle de goiri","calle de goiri","calle goiri","goiri"
"calle de goitia","calle de goitia","calle goitia","goitia"
"plaza de la goleta","plaza de la goleta","plaza goleta"
"calle  golf","calle  golf","calle golf","golf"
"calle del golfo de darién","calle del golfo de darién","calle golfo de darién","golfo de darién"
"calle del golfo de guayaquil","calle del golfo de guayaquil","calle golfo de guayaquil","golfo de guayaquil"
"calle del golfo de salónica","calle del golfo de salónica","calle golfo de salónica","golfo de salónica"
"plaza de golmayo","plaza de golmayo","plaza golmayo"
"travesía de golmayo","travesía de golmayo","travesía golmayo"
"calle de la golondrina","calle de la golondrina","calle golondrina","golondrina"
"calle de gómez acebo","calle de gómez acebo","calle gómez acebo","gómez acebo"
"callejón de gómez acebo","callejón de gómez acebo","callejón gómez acebo","gómez acebo"
"plaza de gómez acebo","plaza de gómez acebo","plaza gómez acebo"
"calle de gómez cano","calle de gómez cano","calle gómez cano","gómez cano"
"calle de gómez de arteche","calle de gómez de arteche","calle gómez de arteche","gómez de arteche"
"calle de gómez de avellaneda","calle de gómez de avellaneda","calle gómez de avellaneda","gómez de avellaneda"
"calle de gómez de baquero","calle de gómez de baquero","calle gómez de baquero","gómez de baquero"
"calle de gómez de mora","calle de gómez de mora","calle gómez de mora","gómez de mora"
"calle de gómez hemans","calle de gómez hemans","calle gómez hemans","gómez hemans"
"calle de gómez ortega","calle de gómez ortega","calle gómez ortega","gómez ortega"
"calle de gómeznarro","calle de gómeznarro","calle gómeznarro","gómeznarro"
"travesía de gómeznarro","travesía de gómeznarro","travesía gómeznarro"
"calle de la góndola","calle de la góndola","calle góndola","góndola"
"calle de gonzález amigo","calle de gonzález amigo","calle gonzález amigo","gonzález amigo"
"calle de gonzález arias","calle de gonzález arias","calle gonzález arias","gonzález arias"
"calle de gonzález dávila","calle de gonzález dávila","calle gonzález dávila","gonzález dávila"
"calle de gonzález feito","calle de gonzález feito","calle gonzález feito","gonzález feito"
"calle de gonzález sola","calle de gonzález sola","calle gonzález sola","gonzález sola"
"calle de gonzález soto","calle de gonzález soto","calle gonzález soto","gonzález soto"
